conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,صياغة المقالات العلمية والأكاديمية والوثائق الفنية,released,skill/competence,cross-sector,,"صياغة وإعداد للنشر النصوص العلمية والأكاديمية أو الفنية التي تتناول موضوعات مختلفة.
    ",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,الكتابة التقنية أو الأكاديمية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,إدارة بيانات البحث,released,skill/competence,cross-sector,,"إنتاج وتحليل البيانات العلمية الناتجة عن طرق البحث الكمي والنوعي. حفظ البيانات في قواعد بيانات البحث وصيانتها. دعم إعادة استخدام البيانات العلمية والاعتياد على أسس إدارة البيانات المفتوحة.
    ",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,إدارة المعلومات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,التفاعل مهنياً في البحث والبيئات المهنية.,released,skill/competence,cross-sector,,"التعبير عن تقدير الآخرين وكذلك الزمالة. سماع التعليقات، وإصدارها واستقبالها والرد على الآخرين بشكل واع، ومحاولة إشراك إشراف العاملين والقيادة في الإعدادات المهنية.
    ",http://data.europa.eu/esco/skill/91b0b918-942e-4661-b88c-70b9396529e5,العمل مع الآخرين
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,توزيع النتائج على المجتمع العلمي,released,skill/competence,cross-sector,,"نشر النتائج العلمية للجمهور من خلال وسائل مناسبة، بما في ذلك المؤتمرات، ورشات العمل، الاجتماعات والمنشورات العلمية.
	",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,الكتابة التقنية أو الأكاديمية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,صياغة برامج مفتوحة المصدر,released,skill/competence,sector-specific,,"تشغيل وإنتاج برامج مفتوحة المصدر. التعود على استعمال نماذج المصدر المفتوح، وخطط التراخيص، وممارسات التشفير المتبعة بشكل عام في إنتاج برامج المصدر المفتوح.
    ",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,برمجة أنظمة الكمبيوتر
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,التحدث بلغات مختلفة,released,skill/competence,cross-sector,,إتقان لغات أجنبية حتى يستطيع التواصل بلغة أجنبية واحدة أو أكثر.,http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a,استخدام اللغات الأجنبية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,تقييم أنشطة البحث,released,skill/competence,cross-sector,,"تقييم مدى تقدم، وآثار ونتائج أبحاث النظراء.
	",http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7,تقديم التعليقات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,عرض الخبرة في شعبة معينة,released,skill/competence,cross-sector,,"توضيح المعرفة العميقة والفهم المتعمق لمادة بحث معينة، بما في ذلك البحث المسؤول، وأخلاقيات البحث وأسس النزاهة العلمية، ومتطلبات الخصوصية ومتطلبات النظام العام لحماية البيانات ذات الصلة بأنشطة البحث داخل قسم معين.
    ",http://data.europa.eu/esco/skill/8fde007e-ea4c-48c2-84c5-752834acd31d,إجراء الدراسات والأبحاث والفحوصات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,التفكير بطريقة تحليلية,released,skill/competence,transversal,,إنتاج أفكار باستخدام المنطق والاستدلال من أجل تحديد نقاط القوة والضعف بالحلول البديلة، أو الاستنتاجات، أو مناهج حل المشكلات.,http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,معالجة المعلومات والأفكار والمفاهيم
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83,التدريس في السياقات الجامعية أو المهنية,released,skill/competence,cross-sector,,"تدريس الطلاب المواد المهنية أو الأكاديمية، نظريا وعمليا، ونقل محتوى بحثك الخاص أو أبحاث النظراء.
    ",http://data.europa.eu/esco/skill/335be43a-3267-400e-b5cb-c9e234dc7544,تدريس المواد الأكاديمية أو المهنية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d39b27a-b34f-4c89-8d46-df844d42f728,إدارة المعرفة المرتبطة بوقع السياسة,released,skill/competence,cross-sector,,"زيادة الوقع واستخدام نتائج البحث في السياسة من خلال ضمان تقديم أكثر الوقائع فائدة وفهم اعتبارها في الوقت المناسب من صانعي السياسة طوال الدورة السياسية.
    ",http://data.europa.eu/esco/skill/cdb2aecd-9dca-48fd-8d56-f0aace3ab5a9 | http://data.europa.eu/esco/skill/f914df1a-c9fd-47ab-b1ec-bc7c6f572640,تقديم المعلومات العامة | التأثير على صانعي السياسات بشأن قضايا الخدمات الاجتماعية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4f5c1208-62fd-4e5a-a51e-306c06947e11,إدارة البيانات القابلة للإيجاد، التي يمكن الحصول عليها وذات التشغيل المتبادل والتي يمكن استخدامها من جديد,released,skill/competence,cross-sector,,"إنتاج، ووصف، وحفظ، وحماية واستخدام/إعادة استخدام البيانات العلمية طبقاً لأسس FAIR (إمكانية الإيجاد، سهولة الوصول، تبادل التشغيل، وإعادة الاستخدام)، وجعل البيانات مفتوحة بقدر الإمكان، وإحكام غلقها عند اللزوم.
	",http://data.europa.eu/esco/skill/9ff9db9d-d14b-426e-83f3-e7449af6c79f | http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,ادارة البيانات | تنفيذ البحوث الأكاديمية أو أبحاث السوق
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4fabca9a-7435-4f33-b1da-3cdb00340fdc,إجراء البحث العلمي,released,skill/competence,cross-sector,,"المشاركة في تحديد مفهوم أو خلق معرفة جديدة من خلال صياغة أسئلة البحث، وقيادة البحث، وتحسين أو تنمية المفاهيم والنظريات والنماذج والتقنيات والمعدات والبرامج أو الطرق التشغيلية ومن خلال الاستعانة بالمنهجيات العلمية والفنية.
    ",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,تنفيذ البحوث الأكاديمية أو أبحاث السوق
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/518dc04d-092d-4fa1-bd82-88b7a9278ef7,إدارة حقوق الملكية الفكرية,released,skill/competence,sector-specific,,"التعامل مع الحقوق القانونية الخاصة التي تحمي المنتجات الفكرية من عمليات الانتهاك غير المشروعة.
   ",http://data.europa.eu/esco/skill/f4bcdb75-df28-441d-a52b-9730904f36a1 | http://data.europa.eu/esco/skill/0d80a782-99ff-4f49-abbe-c72524c6f390,ممارسة الحقوق والمسؤوليات | التفاوض وإدارة العقود والاتفاقيات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5f0082ab-2131-49b5-94d6-a1821daf57d6,تقديم طلب للحصول علي تمويل البحث,released,skill/competence,cross-sector,,"تحديد مصادر التمويل المناسبة الرئيسية وإعداد طلب الحصول على منحة بحث من أجل الحصول على التمويلات والمنح.
	",http://data.europa.eu/esco/skill/0ffce932-cec4-4fec-87e6-df23fb6bdc12 | http://data.europa.eu/esco/skill/1bc1cf2a-a7f6-4769-a13b-cc26a2214498,البحث عن المنح | إعداد الوثائق للعقود أو للطلبات أو للتصاريح
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,العمل ضمن فرق,released,skill/competence,transversal,,العمل بثقة ضمن مجموعة يؤدي فيها كل فرد دوره في خدمة الكل.,http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,التعاون ضمن الفرق والشبكات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74,التفاوض للوصول إلى حل وسط,released,skill/competence,transversal,,التواصل مع الآخرين بقصد التوصل إلى تفاهم مشترك أو حل نقطة خلاف، دون إغفال آراء المرء أو الآخرين أو أهدافهم.,http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,تبادل الاتصال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,التعامل مع الضغوط,released,skill/competence,transversal,,"مواجهة التحديات والاضطرابات والتعافي بعد الصدمات والنكسات.
  ",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,تبني موقف إيجابي باستمرار
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,التفكير الناقد,released,skill/competence,transversal,,"إصدار الأحكام والدفاع عنها استنادًا إلى الأدلة الداخلية والمعايير الخارجية. تقدير ناقد لدرجة الثقة في المعلومات وصحتها قبل استخدامها أو نقلها للآخرين. تنمية ملكة التفكير الناقد والمستقل.
  ",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,معالجة المعلومات والأفكار والمفاهيم
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/833289fa-3646-4010-9d9e-93ba8c9ef2d8,تطبيق أخلاقيات البحث وأسس النزاهة العلمية في أنشطة البحث,released,skill/competence,cross-sector,,"تطبيق الأسس الأخلاقية الأساسية والتشريعات على البحث العلمي بما فيه مسائل نزاهة البحث. تنفيذ ومراجعة أو إعداد التقارير حول البحث مع تفادي السلوك الخاطئ مثل الافتعال، التزوير وانتحال الملكية الأدبية.
	",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,تنفيذ البحوث الأكاديمية أو أبحاث السوق
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/872a1632-f1db-4feb-bb27-0a6a359b7591,تشجيع الابتكار المفتوح في البحث,released,skill/competence,cross-sector,,تعزيز أنماط التعاون الداخلي حيث مختلف أصحاب المصلحة يشتركون في خلق ابتكارات قيمة مشتركة.,http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,تنفيذ البحوث الأكاديمية أو أبحاث السوق
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/979cf728-896f-4f2c-8fa8-2698ca0d4930,نشر بحثًا أكاديميًا,released,skill/competence,cross-sector,,"إجراء بحث أكاديمي، في الجامعة أو المعهد أو بصفة شخصية، في مجال خبرتك ونشره في كتب أو مجلات أكاديمية بهدف المساهمة في مجالك والحصول على الاعتماد الأكاديمي الشخصي.
    ",http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1 | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,توزيع النتائج على المجتمع العلمي | الكتابة التقنية أو الأكاديمية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/988f4ac3-a37c-4b0a-a40f-4e0e56b5919e,تشجيع نقل المعرفة,released,skill/competence,cross-sector,,"نشر الوعي المتسع لعمليات تقييم المعرفة من أجل زيادة تبادل التكنولوجيا في الاتجاهين بأكبر قدر، والملكية الفكرية، والخبرة والإمكانيات بين قاعدة البحث والصناعة أو القطاع العام.
	",http://data.europa.eu/esco/skill/efbb3d3b-a41c-4e0a-90a8-8e611eb1db9f,تقديم المشورة بشأن المسائل القانونية أو التنظيمية أو الإجرائية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9a58cd26-58eb-4a1c-b1b6-64037fe9cfa1,التفكير التجريدي,released,skill/competence,cross-sector,,"إثبات القدرة على استخدام المفاهيم لإجراء التعميم وفهمه، وربطه أو وصله بمسائل أخرى، أو أحداث أو تجارب.
    ",http://data.europa.eu/esco/skill/ab877a24-335d-4676-b366-c5c06651481a,التواصل والتعاون والإبداع
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a584a638-a2c0-4b3c-bdf3-a64f87225be9,مراقبة الأفراد,released,skill/competence,cross-sector,,مراقبة الأفراد عن طريق تقديم الدعم المعنوي ومشاركة الخبرات وإسداء النصح لهم لمساعدتهم في تطوير أنفسهم وكذلك مواءمة الدعم مع احتياجاتهم الخاصة والإصغاء لطلباتهم ومقترحاتهم.,http://data.europa.eu/esco/skill/e2bdf081-333a-414f-b8ac-93c76290f167,التوجيه والإشراف
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a8b3957f-08b4-4a76-927d-0b2e3d0dbd39,تأليف منشورات بحثية,released,skill/competence,cross-sector,,قراءة وتفسير منشورات علمية تتناول مشكلة بحثية، ومنهج البحث، وحل المشكلة والنظرية. مقارنتهم واستخراج المعلومات المطلوبة.,http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a | http://data.europa.eu/esco/skill/29dcc31e-a8d6-4a62-b3c1-2de81e966e39 | http://data.europa.eu/esco/skill/f715be1d-5fc4-49d3-82a5-0b8090d12849,معالجة المعلومات النوعية | جمع المعلومات من المصادر المادية أو الإلكترونية | توليف المعلومات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612,إدارة النمو المهني الشخصي,released,skill/competence,cross-sector,,"تحمل مسؤولية التعليم مدى الحياة والنمو المهني المستمر. المشاركة في التعليم لدعم الخبرة المهنية وتحديثها. التعرف على نقاط الأولويات للنمو المهني المعتمد على التفكير في الممارسة الشخصية والاتصالات مع الأقران وأصحاب المصلحة.
    ",http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be | http://data.europa.eu/esco/skill/7e0b93e0-0de7-4607-b07f-27a6828d3ff0,إدارة التقدم الشخصي | تطوير البرامج التعليمية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,حل المشاكل,released,skill/competence,transversal,,"إيجاد الحلول للمشاكل العملية والتشغيلية أو المنهجية في سياقات متعددة.
  ",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,التعامل مع المشاكل
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b363bb5f-2c79-40af-94da-33e06f9dee9f,تطبيق التعلم المدمج,released,skill/competence,cross-sector,,"التعود على أدوات التعلم المدمج من خلال مزج سبل التعلم التقليدية، وجها لوجه، والتعلم على الخط بواسطة الأدوات الرقمية، والتكنولوجيات على الخط وطرق التعلم الإلكترونية.
    ",http://data.europa.eu/esco/skill/caede8f1-6658-4d78-9eb4-2ad2c7ebf09b,التدريس والتدريب
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e,التعبير عن روح المبادرة التجارية,released,skill/competence,transversal,,"تنمية وتنظيم وإدارة مشروعك الخاص، والتعرف على الفرص واتباعها وحشد الموارد مع وضع نصب أعينك تحقيق الربحية. التعبير عن سلوك تفاعلي وإرادة تحقيق النجاح في المشروعات
  ",http://data.europa.eu/esco/skill/6c6957bf-cf1f-4483-9c7e-1655f251b01a,تطبيق روح خلق المشروعات والمهارات المالية والخبرات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c3c2420c-ce9a-4371-8eed-1db479c3a562,كتابة النشرات العلمية,released,skill/competence,cross-sector,,"تقديم الفرضية والنتائج والاستنتاجات الخاصة ببحثه العلمي في مجال خبرته في منشور مهني.
	",http://data.europa.eu/esco/skill/be40c4c3-a855-4d67-9ca5-6f4428c34b0d | http://data.europa.eu/esco/skill/7a34b3d9-bd3b-4f4e-a0f6-f97439901cb7 | http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1 | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,تقديم محتوى مكتوب | تطبيق الأساليب العلمية | توزيع النتائج على المجتمع العلمي | الكتابة التقنية أو الأكاديمية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cc61f9e5-d4fc-470e-8606-1ce865ff8386,بناء شبكات مهنية يشترك فيها الباحثون والعلماء,released,skill/competence,cross-sector,,"تنمية الروابط والعلاقات أو الشراكات، وتبادل المعلومات مع الآخرين. تعزيز أنماط التعاون المتكامل والمفتوح حيث مختلف أصحاب المصلحة يشتركون في البحث والابتكارات القيمة. تنمية ملامحك الشخصية أو علامتك وأن تصبح مرئياً وسهل الوصول في بيئات الشبكات على الخط أو وجهاً لوجه.
    ",http://data.europa.eu/esco/skill/8a3b45dc-8299-4b67-99db-6542daf79ac3,تطوير العلاقات أو الشبكات المهنية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cd50d616-1f8b-481e-983f-68d2674ff82d,تضمين البعد الجنساني في البحث,released,skill/competence,cross-sector,,الأخذ في الاعتبار في مجمل عملية البحث الخصائص البيولوجية والوظائف الثقافية والاجتماعية المتطورة للنساء والرجال (البعد الجنساني).,http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,تنفيذ البحوث الأكاديمية أو أبحاث السوق
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68,إدارة قسم المشاريع,released,skill/competence,cross-sector,,إدارة وتخطيط للموارد المُختلفة مثل الموارد البشرية، والميزانية، والموعد النهائي، والنتائج، والجودة اللازمة لمشروعٍ معين ومراقبة تقدُّم المنتجات من أجل تحقيق هدفٍ محدد ضمن الفترة الزمنية والميزانية المُحددة.,http://data.europa.eu/esco/skill/190f64e1-b7b6-4c53-b20b-80f9215ef6ca | http://data.europa.eu/esco/skill/ccfbdaad-b91d-4bfe-bd0e-d30b33587f19,قيادة المشاريع والإشراف عليها وتنسيقها | الاحتفاظ بسجلات تقدم العمل
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/da930e2f-6047-4616-a598-bba8ecef3039,إدارة النشرات المفتوحة,released,skill/competence,cross-sector,,"الاعتياد على استراتيجيات النشر المفتوح، مع استخدام تكنولوجيا المعلومات لدعم البحث وتنمية وإدارة CRIS (أنظمة المعلومات البحثية الحالية) والمستودعات المؤسسية. تقديم المشورة حول التراخيص وحقوق التأليف والنشر، واستخدام مؤشر القياسات الببليوجرافية، وقياس وقع البحث وإعداد تقرير بذلك.
    ",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,استخدام الأدوات الرقمية للتعاون والإنتاجية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,وضع الخطط,released,skill/competence,transversal,,"إدارة جدول زمني وموارد شخص ما من أجل الانتهاء من المهام في الوقت المناسب.
  ",http://data.europa.eu/esco/skill/66fdc34c-2326-4baa-b8ff-7a1d1015fe3a,التخطيط والتنظيم
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f715be1d-5fc4-49d3-82a5-0b8090d12849,توليف المعلومات,released,skill/competence,cross-sector,,"القراءة الناقدة والتفسير وتلخيص المعلومات الجديدة والمُركبة من مصادر مختلفة.
	",http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a | http://data.europa.eu/esco/skill/29dcc31e-a8d6-4a62-b3c1-2de81e966e39,معالجة المعلومات النوعية | جمع المعلومات من المصادر المادية أو الإلكترونية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f7b071bf-4882-4cfc-ae0a-7e0e0ab94c61,القيام بالبحث عبر النظم المختلفة,released,skill/competence,cross-sector,,"إجراء البحث عبر الحدود الانضباطية والوظيفية.
	",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,تنفيذ البحوث الأكاديمية أو أبحاث السوق
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fa642fc3-5cc5-41cf-8926-6617a8b976a7,تشجيع مشاركة الجمهور في البحث,released,skill/competence,cross-sector,,"مشاركة الجمهور في التصميم وقيادة البحث ونشره.
	",http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12 | http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,المشاركة النشطة في الحياة المدنية | تنفيذ البحوث الأكاديمية أو أبحاث السوق
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff64e9fc-36dd-4035-872a-83aa41dc1ad9,تبادل الاتصال حول الاستنتاجات العلمية,released,skill/competence,cross-sector,,"مشاركة آخر ما تم التوصل إليه من نتائج والحماس العلمي مع الجمهور، وزيادة وعي الجمهور، وتقديره وفهمه للعلوم، وتشجيع استخدام النتائج العلمية في تكوين الرأي.
	",http://data.europa.eu/esco/skill/8f9f8b20-ff26-4392-b04f-695dcde5b90a,تقديم المعلومات البحثية أو التقنية
