conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7f321b88-3d16-4e30-8163-5494ca8ce978,skill/competence,transversal,مشاركة الآخرين في التصرفات الرفيقة بالبيئة,released,,"التوعية وتشجيع السلوكيات الرفيقة بالبيئة من خلال شبكات التواصل الاجتماعي وفي العمل.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,تطبيق المهارات والخبرات الخاصة بالبيئة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,skill/competence,transversal,الإهتمام بالتفاصيل,released,,إنجاز المهام مع الاهتمام بجميع الجوانب المعنية مهما كانت صغيرة.,http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,العمل الفعال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/88b0c49e-7c2e-4ccc-aca3-fbd4bbc2081c,skill/competence,transversal,أن تظل دائما على علم بنظام الرعاية الصحية واستعماله,released,,"التعرف واختيار الخدمات أو وكالات الوقاية والعلاج الصحيحة التي تقدم خدمات الرعاية الصحية والإدارة السليمة للعلاج المناسب.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,تطبيق المهارات والخبرات الخاصة بالصحة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/896a5e0c-7ac9-4e59-a9bf-17fdca6b1c37,skill/competence,transversal,نشر مبادئ الديمقراطية وسيادة القانون,released,,"القيام بدور نشط في نشر مبادئ الديمقراطية والعدالة الاجتماعية وسيادة القانون. مواجهة التمييز على أساس العرق أو الثقافة أو الجنس أو التوجه وكذلك التمييز القائم على الخلفية الاجتماعية أو مستوى التعليم أو المستوى الاقتصادي وذلك من خلال التقدير والإعلان عن مشاركة المجموعات المختلفة في أي عمل مخطط، بما فيه التشريع والسياسات أو البرامج.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,تطبيق المهارات والخبرات الخاصة بالمجتمع
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/93350886-a21b-4e61-a1b1-319a325c0f90,skill/competence,transversal,أن تعبر عن نفسك بشكل مبدع,released,,"أن تكون قادرا على استخدام الإشارات ، والرقص، والأدوات الموسيقية، والتمثيل أو الفنون الجميلة للتعبير عن إبداعك الشخصي.
  ",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,تطبيق المهارات والخبرات الخاصة بالثقافة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f,skill/competence,transversal,حل الخلافات,released,,"التوسط في الخلافات والأوضاع المتأزمة من خلال العمل بين الأطراف، بذل الجهد من أجل الوصول لاتفاق، أو المصالحة وحل المشاكل. حل الخلاف بشكل لا يجعل أي من الضحايا تشعر بأنها عوملت بسوء وتفادي المناقشات قبل وقوعها.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,تبادل الاتصال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/98a999db-72d5-4657-a0b0-2f850afd4368,skill/competence,transversal,تقدير التعبير الفني عن الثقافات المتنوعة,released,,"إظهار حساسية جمالية، واهتمام وانفتاح للتعابير الفنية من خلفيات ثقافية متنوعة.
  ",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,تطبيق المهارات والخبرات الخاصة بالثقافة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,skill/competence,transversal,اظهار الرغبة في التعلم,released,,إظهار سلوك إيجابي تجاه المتطلبات الجديدة والصعبة التي لا يمكن تلبيتها إلا من خلال التعلم مدى الحياة.,http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,التعبير عن إرادة التعلم
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9c0f93f7-2592-4d4d-9673-fd640502345f,skill/competence,transversal,استخدام المعدات والأدوات أو التكنولوجيا بدقة,released,,"استخدام قطع العمل والأدوات والأجهزة الدقيقة أو المعدات بشكل مستقل للقيام بالأنشطة اليدوية، بأقل قدر من التدريب أو بدون تدريب.‏
  ",http://data.europa.eu/esco/skill/ccb6db6a-8538-431c-b740-5f241bdb71cf,التعامل مع الأغراض والمعدات والتحكم فيها
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9cfd2219-553c-4d67-81e5-951e87c65135,skill/competence,transversal,الحفاظ على التركيز لفترات طويلة,released,,المحافظة على تركيزه خلال فترة طويلة من الزمن من أجل إصدار الأحكام الصحيحة والقرارات المناسبة.,http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,العمل الفعال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996,skill/competence,transversal,تعريف المشاكل,released,,"تحديد المشاكل والتعرف عليها وتقرير أفضل الأعمال تجاهها. رفع التقارير حول المشاكل عند اللزوم.
  ",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,التعامل مع المشاكل
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a68bdf1e-b325-4880-b456-192c2891931a,skill/competence,transversal,المحافظة على اللياقة البدنية,released,,"تبني وتطبيق سلوكيات الصحة الوقائية، بما فيها التدريب البدني المنتظم وروتين النوم الصحي وأسس التغذية السليمة.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,تطبيق المهارات والخبرات الخاصة بالصحة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,skill/competence,transversal,حل المشاكل,released,,"إيجاد الحلول للمشاكل العملية والتشغيلية أو المنهجية في سياقات متعددة.
  ",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,التعامل مع المشاكل
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9,skill/competence,transversal,تفويض المسؤوليات,released,,"تفويض المسؤوليات والأنشطة والمهام للآخرين حسب قدراتهم ومستوى إعدادهم وخبراتهم. التأكد من أن الأفراد يفهمون ما يجب أن يقوموا به من عمل ومتى يقومون به.
  ",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,قيادة الآخرين
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b080a008-a35d-4bd0-92e9-edf3773bb2b7,skill/competence,transversal,استخدام برامج الاتصالات والتعاون,released,,"استخدام أدوات رقمية بسيطة وتكنولوجيات لتبادل الاتصال، والتفاعل والتعاون مع الآخرين.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,العمل مع الأجهزة والتطبيقات الرقمية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,skill/competence,transversal,بناء روح الفريق,released,,"بناء علاقة بين أفراد الفريق الواحد تسودها الثقة المتبادلة والاحترام والتعاون.
  ",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,قيادة الآخرين
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b40584aa-7c63-4eed-9422-a9798fb95fdc,skill/competence,transversal,الارتجال,released,,"القدرة على الارتجال والتصرف المباشر وبدون تخطيط إزاء مواقف لم تكن تعلمها مسبقاً.
  ",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,التفكير المبتكر والمجدد
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,skill/competence,transversal,الامتثال للقوانين,released,,"الامتثال واحترام القواعد والقوانين أو التوجيهات المتعلقة بمجال أو نطاق معين وتطبيقها في سياق عملك اليومي.
  ",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,اتباع مدونة قواعد السلوك الأخلاقية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b6bdf202-524f-475d-b813-2aa9af005c37,skill/competence,transversal,نقل الأغراض,released,,"القيام بأنشطة بدنية تتمثل في نقل، تحميل، تفريغ أو تخزين الأغراض، تسلق الهياكل يدويا او بمساعدة تجهيزات خاصة.
  ",http://data.europa.eu/esco/skill/ccb6db6a-8538-431c-b740-5f241bdb71cf,التعامل مع الأغراض والمعدات والتحكم فيها
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ba93b71b-c433-4a01-8246-ed2daa85a9a2,skill/competence,transversal,إجراء بحث في الشبكة العنكبوتية,released,,"البحث عن البيانات، المعلومات والمحتويات من خلال البحث البسيط في البيئات الرقمية.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,العمل مع الأجهزة والتطبيقات الرقمية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,skill/competence,cross-sector,إدارة الهوية الرقمية,released,,إنشاء هوية رقمية أو عدة هويات رقمية وإدارتها، وامتلاك القدرة على حماية سمعة الشخص، والتعامل مع البيانات التي يصدرها أحدهم من خلال العديد من الأدوات والبيئات والخدمات الرقمية.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,التواصل والتعاون الرقمي|التواصل والتعاون الرقمي | العمل مع الأجهزة والتطبيقات الرقمية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bcf002ce-90f8-42e5-ac1b-5dba208639b0,skill/competence,transversal,أن تكون جدير بالثقة,released,,"إظهار سمات الأمانة والنزاهة والثقة في مجال العمل. التعبير عن الوفاء لفريقك وشركتك وإثبات أنك جدير بالثقة.
  ",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,اتباع مدونة قواعد السلوك الأخلاقية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e,skill/competence,transversal,التعبير عن روح المبادرة التجارية,released,,"تنمية وتنظيم وإدارة مشروعك الخاص، والتعرف على الفرص واتباعها وحشد الموارد مع وضع نصب أعينك تحقيق الربحية. التعبير عن سلوك تفاعلي وإرادة تحقيق النجاح في المشروعات
  ",http://data.europa.eu/esco/skill/6c6957bf-cf1f-4483-9c7e-1655f251b01a,تطبيق روح خلق المشروعات والمهارات المالية والخبرات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/be6ab363-3de1-427f-a8ef-85d5b0250822,skill/competence,transversal,التبليغ عن الحقائق,released,,نقل المعلومات أو سرد الأحداث شفهيًّا.,http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,تبادل الاتصال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,skill/competence,transversal,تطبيق مهارات البرمجة الأساسية,released,,"إعداد قائمة بالتعليمات البسيطة لنظام الكمبيوتر لحل المشاكل أو إجراء مهام معينة على المستوى الأساسي وعند الحاجة، بالتوجيه اللازم.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,العمل مع الأجهزة والتطبيقات الرقمية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf983f2a-e941-4646-811d-cc81060cb53f,skill/competence,transversal,بناء الشبكات,released,,"التعبير عن القدرة على بناء علاقات فعالة وتنمية العلاقات والمحافظة عليها، والاتصالات أو الشراكات، وتبادل المعلومات مع الآخرين.
  ",http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,التعاون ضمن الفرق والشبكات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c10d5d87-36cf-42f5-8a12-e560fb5f4af8,skill/competence,transversal,تثبيت الكفاءة بين الثقافات,released,,فهم الأشخاص الذين يُعتقد أن لهم انتماءات ثقافية مختلفة واحترامهم، والتجاوب معهم بفاعلية واحترام.,http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,التعاون ضمن الفرق والشبكات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c29aa9d2-4da8-4bdd-831c-8d4a2fb51730,skill/competence,transversal,العمل باستقلالية,released,,تطوير أساليبه الخاصة في القيام بالأمور وتحفيز نفسه بقدر قليل من الإشراف أو من دونه، والاعتماد على نفسه لإنجاز الأمور.,http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,العمل الفعال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,skill/competence,transversal,التفكير على نحو مبتكر,released,,"تنمية الأفكار أو الخلاصات التي تقود إلى خلق وتنفيذ الابتكارات أو التغييرات.
  ",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,التفكير المبتكر والمجدد
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4180af3-befd-4bd8-9a65-6a496f9d9f15,skill/competence,transversal,التعبير عن الوعي بالتهديدات الصحية,released,,"أن تكون قادراً على الحكم على المخاطر على صحتك الشخصية والتعامل معها، مثلا من خلال اتباع احتياطات السلامة في ممارسة العمل، وتطبيق تدابير الحماية من الحريق، مراعاة وتطبيق بيئة العمل المريحة واعتبار ما للمخدرات والكحول من عواقب على الأفراد والعائلات والمجتمعات.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,تطبيق المهارات والخبرات الخاصة بالصحة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41,skill/competence,transversal,التفكير بشكل خلاق,released,,اقتراح أفكار جديدة أو دمج الأفكار الموجودة لوضع حلول مُبتكرة وجديدة.,http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,التفكير المبتكر والمجدد
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d56e2c2f-3e01-4b76-a7bb-ecb6d430172f,skill/competence,transversal,التفكير الشامل,released,,"الأخذ في الاعتبار العواقب غير المباشرة وعلى الأجل الطويل عند التخطيط وصنع القرارات. التفكير في الآثار على الآخرين، والعمليات والبيئة ودمج كل هذا في خططك.
  ",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,معالجة المعلومات والأفكار والمفاهيم
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47,skill/competence,transversal,صناعة القرارات,released,,الاختيار من بين احتمالات بديلة متعددة.,http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,اتباع مقترب استباقي
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d822b4b2-26c7-4bd9-970d-229c6504f615,skill/competence,transversal,خلق محتوى رقمي,released,,"إعداد وتحرير عناصر بسيطة بمحتوى رقمي، والاستعانة عند اللزوم بالتوجيه.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,العمل مع الأجهزة والتطبيقات الرقمية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8,skill/competence,transversal,إدارة الوقت,released,,تخطيط التسلسل الزمني للأحداث، والبرامج، والأنشطة، وكذلك عمل الآخرين.,http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,العمل الفعال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d9449998-c1f5-478c-a103-2255398cf0b6,skill/competence,transversal,تطبيق معايير النظافة,released,,"تحمل المسؤولية الشخصية لضمان بيئة العمل والحياة الآمنة وغير المعدية، بما في ذلك استعمال الأقنعة، والمطهرات وتطبيق قواعد النظافة الشخصية العامة.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,تطبيق المهارات والخبرات الخاصة بالصحة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/db33c0f3-43ee-4ba3-ba47-9269ac837697,skill/competence,transversal,التقدير الناقد للمعلومات ومصادرها,released,,"القدرة على تقدير وتحليل المعلومات ومصادرها. التعبير عن قدرة الحصول والفهم الناقد لكل من أشكال الإعلام الجديدة والتقليدية وما لها من دور ووظيفة في المجتمعات الديمقراطية.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,تطبيق المهارات والخبرات الخاصة بالمجتمع
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/dcc99418-d896-4b3b-8596-658093a17a8f,skill/competence,transversal,التعامل مع الحالات الصحية المزمنة,released,,"التعرف على واستخدام وسائل تقليل الآثار السلبية للحالات الصحية المزمنة، بما في ذلك استعمال مساعدات البصر والسمع والسير، والعلاج المناسب والدعم الاجتماعي والطبي الصحيح.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,تطبيق المهارات والخبرات الخاصة بالصحة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/deb3c1bc-d48a-42e6-b0cc-cb238534ec28,skill/competence,transversal,تطبيق معرفة العلوم الاجتماعية والبشرية,released,,"التعبير عن فهم طبيعة وتنوع ووظيفة المجموعات الاجتماعية والسياسية وعلاقتها بالبعد الاجتماعي-الاقتصادي داخل المجتمع. فهم دور وموقع الأفراد في المجتمع.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,تطبيق المعارف العامة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df5e3d02-9f0f-44ee-91c2-85c62f161868,skill/competence,transversal,نشر الأفكار والمنتجات أو الخدمات,released,,"تقديم المنتجات والبرامج والخدمات والنصح بها بهدف إقناع الآخرين والتأثير عليهم.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,تبادل الاتصال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e2d44a9b-f28c-489e-9861-b654b5ded507,skill/competence,transversal,تحفيز الآخرين,released,,توجيه سلوك الآخرين عن طريق تزويدهم بسبب مقنع لهذا الإجراء.,http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,قيادة الآخرين
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c,skill/competence,transversal,احترام شروط السرية,released,,"مراعات السرية اللازمة والقيود عند التعامل مع المعلومات المشمولة بالسرية والخصوصية أو المزعجة.
  ",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,اتباع مدونة قواعد السلوك الأخلاقية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,skill/competence,transversal,وضع الخطط,released,,"إدارة جدول زمني وموارد شخص ما من أجل الانتهاء من المهام في الوقت المناسب.
  ",http://data.europa.eu/esco/skill/66fdc34c-2326-4baa-b8ff-7a1d1015fe3a,التخطيط والتنظيم
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ef7562b2-f176-4d7c-a0b2-27ae8cce0b7d,skill/competence,transversal,التصرف إزاء التغييرات البدنية أو الطوارئ,released,,"التفاعل والتصرف بسرعة شديدة وبالشكل المناسب إزاء الظروف الخارجية أو الداخلية والمواقف المثيرة.
  ",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,الاستجابة للظروف البدنية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f4346299-e22a-4686-8e61-2c9b0cd51c7d,skill/competence,transversal,تطبيق تدابير الأمن الرقمي,released,,"اتباع طرق بسيطة لحماية الأجهزة والمحتويات الرقمية.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,العمل مع الأجهزة والتطبيقات الرقمية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f4bcdb75-df28-441d-a52b-9730904f36a1,skill/competence,transversal,ممارسة الحقوق والمسؤوليات,released,,"الوعي بالحقوق الدستورية والقانونية واستخدامها، بما فيه واجب الخضوع للقانون، ودفع الضرائب، وتقديم المساعدة وأيضا حق التصويت، والترشيح أو حق الحصول على حضور المحامي أثناء جلسات المحكمة.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,تطبيق المهارات والخبرات الخاصة بالمجتمع
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fa46a48d-9cb9-422d-afab-1047654dbcdd,skill/competence,transversal,حفظ المعلومات,released,,تخزين المعلومات؛ مثل الكلمات والأرقام والصور والإجراءات، بغرض استرجاعها عند الحاجة.,http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,معالجة المعلومات والأفكار والمفاهيم
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fd89f784-88dc-4d35-abd7-86aa073cab12,skill/competence,transversal,المحافظة على عقلية متفتحة,released,,"التعبير عن الاهتمام والانفتاح لمشاكل الآخرين.
  ",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,التعبير عن إرادة التعلم
